,0
initial_capital,100000
final_equity,531625.5051302875
net_pnl_dollars,431625.5051302875
net_pnl_pct,431.6255051302875
cagr_pct,16.086860370418755
max_drawdown_dollars,-99722.30379419168
max_drawdown_pct,-23.213422664017763
return_to_max_dd,18.593789954091243
sharpe,0.8813699001782943
sortino,0.8014833562816228
total_trades,273
win_rate_pct,38.095238095238095
profit_factor,3.6482444250563955
avg_win_dollars,6230.211137500699
avg_loss_dollars,-1050.9098727825915
avg_trade_dollars,1722.8505120872335
largest_win,129706.50106652582
largest_loss,-4757.60914785522
max_consecutive_wins,9
max_consecutive_losses,15
avg_holding_days,25.545787545787547
trades_per_year,24.373808359814223
layer1_trades,140
layer2_trades,84
layer3_trades,49
time_in_market_pct,53.38603425559947
bah_return_pct,414.39457233562234
bah_max_drawdown_pct,-28.96415990593484
symbol,PORTFOLIO
