year,return_%,max_dd_%,n_trades,QQQ_pnl,GLD_pnl,BTC_pnl,total_pnl
2015,-2.35,-2.67,2,-1656.0,0.0,0.0,-1656.0
2016,-7.61,-9.41,18,-3137.0,-4379.0,0.0,-7516.0
2017,8.59,-9.64,22,17829.0,-8868.0,0.0,8961.0
2018,8.53,-16.56,23,15121.0,-5296.0,0.0,9825.0
2019,18.78,-10.47,29,6476.0,-654.0,8058.0,13879.0
2020,29.59,-8.2,39,6539.0,7416.0,29060.0,43015.0
2021,-1.58,-10.19,24,541.0,862.0,0.0,1403.0
2022,-10.87,-14.4,15,-1113.0,-13364.0,0.0,-14477.0
2023,19.71,-11.26,27,24064.0,5575.0,-3128.0,26511.0
2024,3.31,-7.01,33,8069.0,4338.0,0.0,12407.0
2025,176.3,-15.67,32,-3808.0,319740.0,0.0,315933.0
2026,8.36,-15.8,9,-5710.0,67765.0,0.0,62054.0
