year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027699017774995838,-2.3795250425751036
2016,-1.2234616332078119,0.0,-0.15818891384161704,3.3519156059305555,-4.558277493002838,0.19578334472107883,1.303338653548991,-2.9607814841671964,-1.097022899363287,-1.398307595804582,0.17958024453785804,-1.3003957844885616
2017,3.706615669336144,3.719324651814615,3.026373438969321,5.167605745135151,-0.44970067019654003,-5.17338790172146,0.5342354641874936,0.6775298077627223,-3.341645367695756,3.411110913373583,-0.7346358698956279,-1.717546528883085
2018,6.382282325638533,-3.4107543829471343,5.132335790904152,-4.783918630298112,4.968310122459818,0.9367299722484956,0.5646427022965694,3.926880162236701,-1.0768247604823311,-3.6739129712213714,0.0,0.0
2019,0.0,0.0,-1.212508870012352,-0.900826992536552,-0.46713035426715344,20.274286112479455,-1.520093400638678,1.026760497424295,-5.0099560418615745,2.9080939046564946,0.39299963989312126,3.806515843570124
2020,8.252056465216873,-2.2320777310900874,-0.9086494223793595,2.2715974048488574,2.0127662882790887,-2.80154898589835,6.4702046220944665,0.4360772585535688,-5.519243727552792,8.592462026329684,9.183863842186213,1.7220636815385548
2021,-1.014056104156713,-0.18573639034971112,0.0274827846180159,3.574286884828304,-6.029463513580868,6.801242945011987,-0.028979765265835233,5.713085168364906,-7.630807412245333,0.8638727345363861,-0.29328420714960224,-2.4158619705415996
2022,-2.5498594963585974,2.399345064678582,-1.1580846188393168,-2.918008404360828,-0.25496597627996387,-6.675226979858473,0.0,0.0,0.0,0.0,0.0,0.0
2023,0.0,-0.3124501889233189,6.851587502134104,0.2580896286946466,7.9404207864048,8.6346835675023,3.4538673240466666,-7.120705405194183,-2.869499512024487,-0.6773238147779193,2.5568814583209143,0.5532000094764733
2024,-3.1294567705324017,-1.1286886322204426,4.749458747968305,-2.95508301655657,1.2618947164901195,-2.108139291007627,2.211903431714357,1.8328181073900884,3.660022546628383,3.402319941503018,-2.8766024586809102,-1.2141048490217243
2025,3.079089108850952,1.2061832739933775,6.329139188247468,-2.335828710348131,-0.8554039447659867,0.0395118764428215,-0.990699262219874,21.447710454888625,61.62355301698212,30.461477184450246,-0.05716773792249219,1.4784244709796113
2026,16.311868465527745,-3.604868068461775,-3.353018860745649,,,,,,,,,
