,symbol,entry_date,exit_date,holding_days,pnl,r_multiple,direction,exit_reason,layer
257,GLD,2025-08-24,2025-10-21,58,129707.0,66.98,long,stop_hit,3
256,GLD,2025-08-23,2025-10-21,59,124816.0,66.98,long,stop_hit,2
255,GLD,2025-08-21,2025-10-21,61,31301.0,17.0,long,stop_hit,1
264,GLD,2026-01-03,2026-01-30,27,28602.0,5.93,long,stop_hit,1
265,GLD,2026-01-04,2026-01-30,26,28436.0,5.93,long,stop_hit,2
266,GLD,2026-01-05,2026-01-30,25,17704.0,3.61,long,stop_hit,3
132,BTC-USD,2020-09-27,2020-11-26,60,17670.0,15.77,long,stop_hit,3
189,QQQ,2023-05-06,2023-08-03,89,13598.0,8.94,long,stop_hit,3
261,GLD,2025-10-31,2025-12-29,59,9377.0,1.99,long,stop_hit,1
187,QQQ,2023-03-15,2023-08-03,141,8770.0,6.11,long,stop_hit,1
210,GLD,2024-02-21,2024-04-30,69,8117.0,5.03,long,stop_hit,1
263,GLD,2025-11-19,2025-12-29,40,7598.0,1.67,long,stop_hit,3
258,QQQ,2025-10-14,2025-11-06,23,7232.0,1.67,long,stop_hit,1
23,QQQ,2017-01-04,2017-05-17,133,7072.0,7.93,long,stop_hit,2
161,GLD,2022-02-08,2022-03-11,31,6974.0,4.59,long,stop_hit,1
97,GLD,2019-12-14,2020-02-04,52,6716.0,5.87,long,stop_hit,3
238,GLD,2025-01-08,2025-02-27,50,6430.0,3.74,long,stop_hit,2
188,QQQ,2023-04-28,2023-08-03,97,6031.0,4.01,long,stop_hit,2
131,BTC-USD,2020-09-25,2020-11-26,62,5882.0,7.22,long,stop_hit,2
130,BTC-USD,2020-09-16,2020-11-26,71,5833.0,4.92,long,stop_hit,1
